product_id,product_name,category,price,image_url,description,size
top117,화란 세미오버 니트 모카 베이지,상의,"66,076 ~ 71,900원",https://image.msscdn.net/images/goods_img/20190902/1139099/1139099_17017608592518_500.jpg,https://www.musinsa.com/app/goods/1139099,"['42 (FOR WOMAN)', '44', '46', '48', '50']"
top118,제이윈 덤블 기모후드 그레이(KHHD0748),상의,"33,469 ~ 34,900원",https://image.msscdn.net/images/goods_img/20151119/282220/282220_17_500.jpg,https://www.musinsa.com/app/goods/282220,"['S', 'M', 'L', 'XL', '2XL']"
top119,레이어드 슬리브리스 탑_일반 기장 [화이트],상의,"12,854 ~ 13,390원",https://image.msscdn.net/images/goods_img/20210825/2086660/2086660_17048492714259_500.jpg,https://www.musinsa.com/app/goods/2086660,"['XS', 'S', 'M', 'L', 'XL', '2XL']"
top120,크루 넥 긴팔 티셔츠 [블랙],상의,"17,174 ~ 17,890원",https://image.msscdn.net/images/goods_img/20190327/996234/996234_16921677724998_500.jpg,https://www.musinsa.com/app/goods/996234,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top121,(24SS) [COOL COTTON] 2PACK SMALL ARCH TEE WHITE / BLACK,상의,"28,704 ~ 29,900원",https://image.msscdn.net/images/goods_img/20220310/2409894/2409894_17156650271412_500.jpg,https://www.musinsa.com/app/goods/2409894,"['WS', 'S', 'M', 'L', 'XL', 'XXL']"
top122,020940 레이어드 반팔 티,상의,"8,822 ~ 9,600원",https://image.msscdn.net/images/goods_img/20201014/1648564/1648564_2_500.jpg,https://www.musinsa.com/app/goods/1648564,"['구분', 'XS', 'S', 'M', 'L', 'XL', 'XXL']"
top123,(2PACK) 1301 무지 반팔티 블랙&화이트,상의,"17,829 ~ 19,400원",https://image.msscdn.net/images/goods_img/20160603/364484/364484_17151504315723_500.jpg,https://www.musinsa.com/app/goods/364484,"['S', 'M', 'L', 'XL']"
top124,릴렉스 핏 크루 넥 반팔 티셔츠 [네이비],상의,"9,878 ~ 10,290원",https://image.msscdn.net/images/goods_img/20190327/996180/996180_17047672149044_500.jpg,https://www.musinsa.com/app/goods/996180,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top125,해비 코튼 썸홀 후디 : 15color,상의,"69,600원",https://image.msscdn.net/images/goods_img/20220121/2319988/2319988_17188569295771_500.jpg,https://www.musinsa.com/app/goods/2319988,"['M', 'L', 'XL']"
top126,[2PACK] 7.4oz 헤비 웨이트 라운드 오버핏 무지 반팔티 화이트/블랙,상의,"23,343 ~ 25,400원",https://image.msscdn.net/images/goods_img/20220328/2448091/2448091_17151361764062_500.jpg,https://www.musinsa.com/app/goods/2448091,"['XS', 'S', 'M', 'L', 'XL', '2XL', '3XL']"
top127,슬레이크 후드 올리브 HHHD3397,상의,"41,141 ~ 42,900원",https://image.msscdn.net/images/goods_img/20210902/2106705/2106705_1_500.jpg,https://www.musinsa.com/app/goods/2106705,"['M', 'L', 'XL', '2XL']"
top128,크루넥 리브 니트 스웨터_아이보리,상의,"27,386 ~ 29,800원",https://image.msscdn.net/images/goods_img/20201202/1710363/1710363_1_500.jpg,https://www.musinsa.com/app/goods/1710363,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
top129,Half Zip-Up M-Logo Sweat (JP5TSU839MG),상의,"53,899 ~ 58,650원",https://image.msscdn.net/images/goods_img/20210120/1755609/1755609_16933597178438_500.jpg,https://www.musinsa.com/app/goods/1755609,"['S', 'M', 'L', 'XL']"
top130,5color 남 레귤러핏 인스티튜셔널 로고 반팔 티셔츠 (화이트블랙미드그레이그레이베이지) J321612,상의,"27,915 ~ 36,300원",https://image.msscdn.net/images/goods_img/20210126/1763157/1763157_17108032130462_500.jpg,https://www.musinsa.com/app/goods/1763157,"['S', 'M', 'L', 'XL', 'XXL']"
top131,ODSD 로고 아플리케 후드 - 8COLOR,상의,"40,131 ~ 49,000원",https://image.msscdn.net/images/goods_img/20200904/1584097/1584097_6_500.jpg,https://www.musinsa.com/app/goods/1584097,"['1(M)', '2(L)', '크롭 (기모X)']"
top132,오버사이즈 집업 카라 터틀넥 니트 [M.GREY],상의,"52,600 ~ 68,400원",https://image.msscdn.net/images/goods_img/20211111/2226767/2226767_16836156712013_500.jpg,https://www.musinsa.com/app/goods/2226767,"['WS', 'M', 'L', 'XL']"
top133,고밀도순면기본반팔티셔츠_3팩 MATS0101,상의,"18,288 ~ 19,900원",https://image.msscdn.net/images/goods_img/20201110/1685307/1685307_17151591197714_500.jpg,https://www.musinsa.com/app/goods/1685307,"['090', '095', '100', '105', '110']"
top134,(24SS) EMBROIDERY UNIVERSITY DAN TEE WHITE,상의,"18,954 ~ 23,400원",https://image.msscdn.net/images/goods_img/20210407/1886950/1886950_17134037872933_500.jpg,https://www.musinsa.com/app/goods/1886950,"['WS', 'S', 'M', 'L', 'XL', 'XXL']"
top135,울 오버핏 라운드 니트 - 7color,상의,"62,860 ~ 68,400원",https://image.msscdn.net/images/goods_img/20220728/2688043/2688043_16956980303931_500.jpg,https://www.musinsa.com/app/goods/2688043,"['2 size', '3 size']"
